starttime,endtime,today,deviceid,malaria_intro,readiness_assessment_checklist,gps1_longitude,gps1_latitude,gps1_altitude,gps1_accuracy,gps1,time_of_assessment,date_of_visits,name_supervisor,organisation,other_organisation,region,district,planning_coordination,operational_plan_develop_1_1,coordination_team_established_1_2,micro_plan_finalized_1_3,funds_received_1_4,funds_distributed_1_5,funds_distributed_1_6,comments_planning_coordination,training,health_workers_trained_2_1,com_health_volunteers_trained_2_2,supervisors_identified_and_trained_2_3,comments_training,m_e,supervision_plan_developed_3_1,monitoring_tools_received_3_2,monitoring_tools_delivered_at_hf_3_3,comments_m_e,cold_chain_and_logistics,sufficient_coldchain_capacity_4_1,waste_mgt_assessment_4_2,vaccines_mgt_supplied_vaccines_4_3a,vaccines_mgt_supplied_ad_syringes_0_5ml_4_3b,vaccines_mgt_supplied_safety_boxes_4_3c,vaccines_mgt_supplied_comments_cold_chain_and_logistics,advocacy_communication,acsm_mgt_delivered_5_1,acsm_mgt_implemented_5_2,community_awareness_verified_5_3,comments_advocacy_communication,overall_comments_note,overall_comments,thank_you,meta_instance_id,id,system_submission_date,system_updated_at,system_submitter_id,system_submitter_name,system_attachments_present,system_attachments_expected,system_status,system_review_state,system_device_id,system_edits,system_form_version,odata_context
2025-03-03T13:17:36Z,2025-03-03T16:33:38Z,2025-03-03T00:00:00Z,collect:OFgdqfavk4U0CYsR,NA,NA,33.9376873,1.4884419,1141.300048828125,4.978,,1m,2025-03-03T00:00:00Z,Edgar Othiang Odoi,gov_moh,NA,Teso,Kumi,NA,yes,yes,yes,no,no,yes,"1. Increase funds fr airtime for coordination 
2. Only funds for Big Catch-up we pending submission but have been accounted for.
3. Lengthy turn around times after notification funds.",NA,no,no,no,"1. Supervisors have been identified but not trained yet.
2. Avail resources early enough to facilitate training in time.",NA,yes,yes,no,"1. EPI tools received but very few.
2. Need for facilitation for e-collection of data",NA,yes,no,no,no,no,"1. Need for more funds for waste management especially at the end user level.
2. Two facilities have faulty Cold Chain Equipment (fridges) because they are out of gas, i.e Olimba HCIII & Kanapa HCII
3. The vaccine carriers have a small carrying capacity and are very heavy.",NA,no,no,no,"1. The community is not aware of the introduction of the malaria vaccine.
2. The DHT says the materials should be out by now.
3. Data tools should come in time
4. Mobilisation should begin as early as now at all levels so that the public can get familiar with the concept of the vaccine.",NA,"1. Early disbursement of funds
2. Early delivery of reporting materials
3. Community mobilisation should start early enough.
4. The current vaccine carriers need to be replaced because they are very bulky and have less carrying capacity.
5. An issue was raised concerning the consideration of the municipality leadership in monitoring and supervision since majority of the target population resides in the municipality.
6. Reduce the turn around time between notification of funds and actually having them received at he district.",NA,uuid:53569d43-5b33-4dbf-b9ea-7e2f006c7a0f,uuid:53569d43-5b33-4dbf-b9ea-7e2f006c7a0f,2025-03-03T16:33:44.634Z,NA,1124,moh_assessor,0,0,NA,NA,collect:OFgdqfavk4U0CYsR,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-03T08:15:00Z,2025-03-03T16:33:23Z,2025-03-03T00:00:00Z,collect:OFgdqfavk4U0CYsR,NA,NA,34.0522149,1.3451341,1094,5,,1m,2025-03-03T00:00:00Z,Edgar Othiang Odoi,gov_moh,NA,Teso,Bukedea,NA,yes,yes,yes,no,no,no,"1. Follow up on the pending accountability that was pending submission.
2. Flexibility on the budget to be adjusted by the district.
3. I shared the IPFS for 2025-2026 which they hadn't received",NA,no,no,no,The funds to be availed as soon s possible so that trainings of the health workers and volunteers can begin early to allow time to master the concepts,NA,yes,no,no,1. The district and facilities are out of stock on some tools like tally sheets. These need to be stocked as soon as possible before implementation,NA,yes,no,no,no,no,"1. On health facility has a faulty fridge that needs gas replacement i.e Aminit HC II in Aminit subcounty
2.More support is needed with waste management and disposal. This is in the regard that there are only 4 incinerators serving the whole district.",NA,no,no,no,"1. Based on my sample the community is aware of the introduction of the malaria but no aware of the start date and venues.
2. More efforts to be put on early mass awarenesses through community drives, radio talk shows.
3. The DHT needs to be involved in the development of vaccine material development",NA,"1. Involvement of the DHT in vaccine material development
2. Timely disbursement of funds to enable effective planning and implementation
3. Public awareness(this needs to be done early so that the public can welcome the vaccine from an informed point of view.) Timely funding will help make this easier.
4. Late delivery of tools and ICT materials needs to be addressed.
5. Early training to enable effective understanding of concepts.
6. Provision of better/more waste disposal equipment like incinerators to encourage proper disposal of vaccine related waste (or general medical waste for that matter).",NA,uuid:941744c0-1a23-455e-b41a-00230cd034ec,uuid:941744c0-1a23-455e-b41a-00230cd034ec,2025-03-03T16:33:26.897Z,NA,1124,moh_assessor,0,0,NA,NA,collect:OFgdqfavk4U0CYsR,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-03T07:20:58Z,2025-03-03T16:09:15Z,2025-03-03T00:00:00Z,collect:PF36yAuGpOLXDTQI,NA,NA,30.5002426,-0.1314245,1448.300048828125,4.722,,1m,2025-03-03T00:00:00Z,Atwiine Brenda,gov_moh,NA,Ankole,Ibanda,NA,no,no,yes,no,no,no,All that data is in regard to only malaria vaccine,NA,no,no,no,They identified the teams but they are not trained,NA,yes,yes,no,"EPI data tools have been recieved but not sure if it is in the reporting tool.

EPI data tools are at the facilities but not enough",NA,yes,yes,yes,yes,no,NA,NA,no,no,no,"They need to train their health workers
They need to sensitize the community
Need funds to do training and sensitization ",NA,Training and sensitization ,NA,uuid:536f86af-375d-49a9-9b16-fa7dc4741ea7,uuid:536f86af-375d-49a9-9b16-fa7dc4741ea7,2025-03-03T16:09:17.020Z,NA,1124,moh_assessor,0,0,NA,NA,collect:PF36yAuGpOLXDTQI,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-03T09:29:14Z,2025-03-03T15:58:35Z,2025-03-03T00:00:00Z,collect:Qi2f1kupSSkZS3xj,NA,NA,31.778284,0.9110849,1185,4.264,,1m,2025-03-03T00:00:00Z,Sylvia Iradukunda,gov_moh,NA,North_Central,Kiboga,NA,no,no,no,no,no,no,"The district has not received any formal communication, addressed to the CAO from MOH- national level regarding malaria introduction so that they cannot start stakeholder engagement and mobilisation for malaria vaccine introduction, withoutthe CAO' approval. They also need guidelines from MoH to inform the district' planning and coordination activity plan.",NA,no,no,no,"No guidelines and resources have been provided for these activities,  but they will as soon as resources are provided ",NA,no,no,yes,"Some data tools were delivered, like child health cards, registers, and tally sheets and Some facilities; especially those who had run out of stock of data tools have received them, and they're now using them now. However,  the reporting tools are not yet available, and there's a gap in the reporting since the system is not yet updated.",NA,no,no,no,no,no,"Some vaccine carriers are very old and not functional.  
Also, given that MVI is going to be in April, the same month for ICHDs, there is a likelihood of having inadequate storage capacity in some facilities, as a result of increased volume of bulky vaccines.",NA,no,no,no,"There is a need for more communication and mass sensitisation about malaria vaccine. The masses do not know about it, and the health workers haven't been trained as well,  so there's still a gap in the awareness of the vaccine. ",NA,Kiboga district has not yet started on preparations for malaria vaccine introduction. The DHT was waiting for the national level guidance and official communication to the CAO to start engaging key stakeholders to start planning for MVI,NA,uuid:9c7f62b0-9abe-4a4c-b92b-126c8aff7b8d,uuid:9c7f62b0-9abe-4a4c-b92b-126c8aff7b8d,2025-03-03T15:58:36.356Z,NA,1124,moh_assessor,0,0,NA,NA,collect:Qi2f1kupSSkZS3xj,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-03T11:23:01Z,2025-03-03T15:45:23Z,2025-03-03T00:00:00Z,collect:cBXclOfBiyAOBDYD,NA,NA,33.5912836,0.6262646,1096,5,,1m,2025-03-03T00:00:00Z,Talisobola Henry,gov_moh,NA,Busoga,Bugweri,NA,yes,yes,yes,no,no,no,Need clear guidance on what Technical areas needs call for Monthly Meetings with RDC,NA,yes,yes,yes,"The Trainings were insufficient due to limited funds, hence they request for more funding ",NA,yes,no,no,Provide EPI Data Tools,NA,yes,yes,no,no,yes,Provide the supplies as necessary ,NA,no,yes,yes,Provide more guidance to Biostatisticians on how to develop the Microplans ,NA,63%,NA,uuid:a190b167-684b-43f8-99d5-0fe01a1b319e,uuid:a190b167-684b-43f8-99d5-0fe01a1b319e,2025-03-03T15:45:23.826Z,NA,1124,moh_assessor,0,0,NA,NA,collect:cBXclOfBiyAOBDYD,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-03T09:37:00Z,2025-03-03T13:54:08Z,2025-03-03T00:00:00Z,collect:oWrdpIXr9I42R1Dy,NA,NA,33.3403233,1.8197883,1096.1519775390625,4.795,,1m,2025-03-03T00:00:00Z,NATUKUNDA MOREEN,gov_moh,NA,Teso,Kalaki,NA,yes,yes,no,no,no,no,Mobilization needs to be done appropriately ,NA,no,no,no,Trainings need to be done. ,NA,no,no,no,Deliveries should be done as trainings go on.,NA,yes,yes,no,no,no,NA,NA,no,no,no,Trainings to be done .,NA,Sensitization  needs to be done ,NA,uuid:d24c427d-022e-45d1-8282-e1b22ea04be1,uuid:d24c427d-022e-45d1-8282-e1b22ea04be1,2025-03-03T13:54:11.491Z,NA,1124,moh_assessor,0,0,NA,NA,collect:oWrdpIXr9I42R1Dy,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-03T11:31:37Z,2025-03-03T13:48:39Z,2025-03-03T00:00:00Z,collect:oWrdpIXr9I42R1Dy,NA,NA,33.1632189,1.7731554,1076.9474375846698,13.311,,1m,2025-03-03T00:00:00Z,NATUKUNDA MOREEN ,gov_moh,NA,Teso,Kaberamaido,NA,yes,yes,no,no,no,no,The team is ready once it receives  funds,NA,no,no,no,Waiting  for funds,NA,no,no,no,Waiting   for the tools,NA,yes,yes,no,no,no,NA,NA,no,no,no,Mobilization  still lacking,NA,The district still lacks mobilisation,NA,uuid:d8301935-9441-41bc-b0f8-764f84c01cab,uuid:d8301935-9441-41bc-b0f8-764f84c01cab,2025-03-03T13:48:41.863Z,NA,1124,moh_assessor,0,0,NA,NA,collect:oWrdpIXr9I42R1Dy,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-03T06:50:55Z,2025-03-03T12:50:56Z,2025-03-03T00:00:00Z,collect:kbIvte1ARGukjwAD,NA,NA,31.8944318,0.1774829,1192.699951171875,4.566,,1m,2025-03-03T00:00:00Z,Musanase Monica,gov_moh,NA,South_Central,Gomba,NA,yes,yes,yes,no,no,yes,"Some facilities are not performing well and need more attention.

Hard-to-reach areas face additional challenges that require targeted support.

Limited funding is affecting service delivery.

There is a need to provide more IEC materials to improve awareness and engagement.


",NA,no,no,no,"-Vaccine management 
-Data capture and reporting 
-Mobilisation strategies 
-Waste management 
-Surveillance 
-Coordination at all levels",NA,yes,no,no,"Areas that need attention. 
Data accuracy and reporting  
Surveillance ",NA,yes,yes,no,no,no,"The number of refrigerators is insufficient, and some that were taken to the center have not been returned.

There is a need for two additional refrigerators to support vaccine storage.

The current storage capacity should be reviewed, as some private facilities are also relying on government supplies.

",NA,yes,no,no,"Community awareness about the vaccine remains low.

Citizens prefer advertisements in their local language for better understanding.

Campaigns should specifically mention the district to encourage participation.


Communications through megaphones and public address systems ",NA,"Areas that need attention,  data management and surveillance,  advocacy, and trainings ",NA,uuid:1eea0f5a-51c1-4c5e-8f1b-685543105e30,uuid:1eea0f5a-51c1-4c5e-8f1b-685543105e30,2025-03-03T12:50:57.762Z,NA,1124,moh_assessor,0,0,NA,NA,collect:kbIvte1ARGukjwAD,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-03T06:50:27Z,2025-03-03T11:31:33Z,2025-03-03T00:00:00Z,collect:QCjuGctA1wr4dJFO,NA,NA,31.4146006,2.1135258,315.4754241877157,4.786,,1m,2025-03-03T00:00:00Z,Mukisa Griffine,gov_moh,NA,Bunyoro,Buliisa,NA,no,yes,yes,no,no,no,"target populations are high than actual numbers on ground ,Ngwedo,buliisa,butyaba need attention
Cross boarder movements by the population",NA,no,no,no,NA,NA,no,no,no,issues in reporting due to absence of a command centre,NA,yes,no,no,no,no,"cold chain capacity in Health centre ,Training of health workers and waste Management",NA,no,no,yes,"stakeholders engagent meeting, sub county leaders these includes religious leaders, cultural and option leaders, boda bodas and women and youth group, conduct talks how , use VHT and LC1, ]public address system on van",NA,"Advocacy has not been done,Training materials required,clear road map and schedule should be drawn for the Malaria Vaccine introduction",NA,uuid:126ebd9b-0447-4083-8879-b4e57108f810,uuid:126ebd9b-0447-4083-8879-b4e57108f810,2025-03-03T11:31:33.758Z,NA,1124,moh_assessor,0,0,NA,NA,collect:QCjuGctA1wr4dJFO,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-03T10:37:49Z,2025-03-03T11:24:01Z,2025-03-03T00:00:00Z,collect:Z3HWeut1ZO5Nsms1,NA,NA,31.9455525,2.6011351,985.70001220703125,4.427,,1m,2025-03-03T00:00:00Z,SegujjaEdward ,gov_moh,NA,Acholi,Nwoya,NA,yes,yes,yes,no,no,yes,"Monthly coordination meeting are integrated with other planning meetings 
The district has very large administrative units making it hard to plan for all the sub counties",NA,yes,yes,yes,The orientation was suboptimal ,NA,yes,no,no,The district has not received the monitoring and supervision tools ,NA,yes,yes,no,no,no,N/A,NA,no,yes,yes,"Community talk shows in the designated hotspots 
No IEC materials seen at the dvs
",NA,N/A,NA,uuid:8b79b2dc-7711-4f55-b1b6-963cd807dbc5,uuid:8b79b2dc-7711-4f55-b1b6-963cd807dbc5,2025-03-03T11:24:01.209Z,NA,1124,moh_assessor,0,0,NA,NA,collect:Z3HWeut1ZO5Nsms1,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-02T05:40:56Z,2025-03-03T10:41:33Z,2025-03-02T00:00:00Z,collect:XIiNtMyRmqnTsRie,NA,NA,34.1421768,3.5103197,1536,11.149,,1m,2025-03-03T00:00:00Z,Frank Mwesigwa,gov_moh,NA,Karamoja,Kaabong,NA,no,no,no,no,no,no,"Solve the issue of ecash payments. Payments are taking long to come, so the team needs to look into the logistics management.

Facitation is dicated by the center

Involve the district in planning

Most VHTs don't have mobile numbers, These categories can be paid using cash.

Recommendations always given are not taken up during implementation. Ministry should work on previous comments already provided for improvents.",NA,no,no,no,"Train on how to administer the new vaccine, effects of the new vaccine introduced, surveillance and reporting",NA,yes,no,no,NA,NA,yes,yes,no,no,no,"Not all subcounries have friges so there is a challenge in transporting these vaccines. Add more frigres for sub counties which don't have friges.

Provide friges for storing the vaccines",NA,no,no,no,There is a need to reach out and have enough time for mobilization pre the activity and this is an issue of the budget for communication,NA,"1. Provide a template for creating the operational plan

2. Provide a clear budget for all activities which is customized to the district needs 

3. Provision of friges to sub counties that don't have them yet",NA,uuid:fcb0f34a-5a03-4c78-9adf-f2af9784eba6,uuid:fcb0f34a-5a03-4c78-9adf-f2af9784eba6,2025-03-03T10:41:34.515Z,NA,1124,moh_assessor,0,0,NA,NA,collect:XIiNtMyRmqnTsRie,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-03T10:18:59Z,2025-03-03T10:34:45Z,2025-03-03T00:00:00Z,collect:7dVdmFpMlIoNfIhQ,NA,NA,31.7934511,3.3659557,788.70001220703125,490.192,,1m,2025-03-03T00:00:00Z,OLEGMUNGU DERRICK ,gov_moh,NA,West_Nile,Adjumani,NA,no,no,no,no,no,no,The microplan needs to be shared to the district for proper planning because most of the things are not in but with District Vaccine Store  is perfectly intact ,NA,no,no,no,The DHT team needs to be reminded  about thorough training of the supervisors and the rest,NA,no,yes,yes,Every thing is ok only waiting for work,NA,yes,no,no,no,no,Nothing like materials yet,NA,no,no,no,No microplan shares to them,NA,"Adjumani District has everything intact as far as District Vaccines store and all other activities are planned well apart from the complain of the microplan which was not shared to them ,",NA,uuid:d6865aa3-c20f-4bd1-8ab5-63c2625318c0,uuid:d6865aa3-c20f-4bd1-8ab5-63c2625318c0,2025-03-03T10:34:48.025Z,NA,1124,moh_assessor,0,0,NA,NA,collect:7dVdmFpMlIoNfIhQ,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-03T07:40:12Z,2025-03-03T10:07:52Z,2025-03-03T00:00:00Z,collect:adSp3t46z9MXZpgh,NA,NA,31.7576688,-0.1675949,1266.5,16.833,,1m,2025-03-03T00:00:00Z,Sarah Nahura,gov_moh,NA,South_Central,Kalungu,NA,yes,yes,yes,no,no,yes,Meetings are carried on weekly and challenging area is need of  facilition to enable training of the community health workers.,NA,no,no,no,Both health workers at the health facilities and community health workers are not  sensitized about the malaria vaccine,NA,no,yes,yes,Monitoring tools are available,NA,yes,no,no,no,no,There is enough storage capacity waiting to receive vaccine,NA,no,no,no,ACSM materials should be brought at the district early .like two months before the implementation and also fundings,NA,kalungu District still requires training and sensitisation about malaria vaccine,NA,uuid:630260c3-a1f2-4c45-99ce-b102552f7b35,uuid:630260c3-a1f2-4c45-99ce-b102552f7b35,2025-03-03T10:07:58.722Z,NA,1124,moh_assessor,0,0,NA,NA,collect:adSp3t46z9MXZpgh,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-03T09:21:29Z,2025-03-03T09:46:09Z,2025-03-03T00:00:00Z,collect:I6Eej4CBgTigix6c,NA,NA,34.2746105,0.9523528,1205.7136133825775,4.931,,1m,2025-03-03T00:00:00Z,Anirwoth Gloria,gov_moh,NA,Bugisu,Manafwa,NA,yes,yes,no,no,no,yes,"Most district participants missout on payments made by the national level and it's difficult for the district to follow up on these payments, this makes it difficult to convince people to participate in other activities. ",NA,no,no,yes,Supervisors have been identified but not yet trained pending receipt of funds,NA,no,no,no,The district is still lacking data tools for new antigen this has greatly affected reporting and data capture. There's need to have these tools in DHIS2 as well. ,NA,yes,no,no,no,no,Pending delivery of vaccines and supplies by NMS,NA,no,yes,no,Late delivery of IEC materials affects ACSM activities in the district. ,NA,"Late delivery of vaccines and other supplies by MMS affects implementation plans at the district. 

It is difficult for the district to develop Micro plans without financial guidelines from the MoH. There is need for MoH to send IPFs in time. 

3 health facilities lack functional cold chain equipment these include wajo HC II, kim-tab HC II and butiru HC III. 
",NA,uuid:38b07f3d-5596-462c-8307-133875b32efb,uuid:38b07f3d-5596-462c-8307-133875b32efb,2025-03-03T09:54:10.039Z,NA,1124,moh_assessor,0,0,NA,NA,collect:I6Eej4CBgTigix6c,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-03T07:08:08Z,2025-03-03T09:51:48Z,2025-03-03T00:00:00Z,collect:ZGXQPIs8xpj0E5cT,NA,NA,32.5293875,1.9828137,1043.5484423807195,4.679,,1m,2025-03-03T00:00:00Z,Doreen Ruth Akuno,gov_moh,NA,Lango,Apac,NA,no,yes,yes,no,no,no,The meetings will start in the 2nd week of March 2025.,NA,no,no,no,Still waiting for guidance ,NA,no,no,no,The District is waiting for the delivery from NMS.,NA,yes,no,no,no,no,The vaccine and logistics not yet delivered at the District ,NA,no,no,no,The Radio talk shows will start 2nd week of March,NA,"The district is set for the MVI and DHT members are ready for implementation. They do have their meetings every Monday and one of the agenda is the MVI.
They already asked the the RDC airtime to support in the community engagement and advocacy. ",NA,uuid:1dab7d97-1831-453c-94d7-8ca43e08612e,uuid:1dab7d97-1831-453c-94d7-8ca43e08612e,2025-03-03T09:51:47.410Z,NA,1124,moh_assessor,0,0,NA,NA,collect:ZGXQPIs8xpj0E5cT,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-03T07:45:22Z,2025-03-03T09:30:41Z,2025-03-03T00:00:00Z,collect:LEDNomTpyY7BXZQ8,NA,NA,34.109125,2.9999633,1240,4.9,,1m,2025-03-03T00:00:00Z,Tonny Tindyebwa,gov_moh,NA,Karamoja,Kotido,NA,no,no,no,no,no,no,Expected activities to be commenced upon receipt of the budget from National Level,NA,no,no,no,Teams that previously participated in other EPI campaigns will be cooped for the MVI activities as guided by the planned budget ceiling,NA,no,no,no,These shall be adapted from plans normally used for routine & the most recent big catch-up activities immediately after the coordination meeting,NA,yes,yes,no,no,yes,Team to be guided after understanding the characteristics of the MV,NA,no,no,no,To be commenced after receiving the activity budget and necessary materials from the Centre,NA,"1. Sharing the MVI activity budget early enough to enable adequate planning
2. Rely on contextual categorization of hard to reach areas to improve coverage.
3. Plan for adequate facilitation of VHTs (most effective) proportionate to the amount of money they spend from their locations: For example, those from Lolelia, Napeikar, Kaalale- Spend between 30,000-40,000Ugsh for a complete journey from and to the usual training sites. Compensating them with 10,000 is always very demoralizing and unreasonable.
4. Plan for refreshments during trainings to ensure that participants retention rather than loosing some due to hunger.
5. Supply data tools based on the demand from district rather than using estimations.
5. Incentivise report compilation either with an Airtime package or SDA for efficient accountability processes. e-Payments downside effect; as those who compile reports are less motivated to do so",NA,uuid:aa694259-afe1-42a7-96da-c147a0541b46,uuid:aa694259-afe1-42a7-96da-c147a0541b46,2025-03-03T09:30:42.944Z,NA,1124,moh_assessor,0,0,NA,NA,collect:LEDNomTpyY7BXZQ8,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-03T08:12:00Z,2025-03-03T08:51:34Z,2025-03-03T00:00:00Z,collect:MXJVPCSaDgKydJY2,NA,NA,32.6792615,2.2776646,1012.895,1.7,,1m,2025-03-03T00:00:00Z,Ssemanda Paul ,gov_moh,NA,Lango,Kole,NA,yes,yes,yes,no,no,yes,"1) Programs should be re-scheduled well so that they don't collide.
2) Ministry should involve district technical people during implementation of activities and also equip them with technical knowledge.
3) IEC materials should be delivered earlier so that information can be disseminated easily and timely to the communities.",NA,no,no,yes,"1) Adequate time for training should be availed.
2) More training time should be allocated to stakeholders.
3) IEC materials should be provided adequately and timely.
4) Practical sessions should be enhanced to allow grasping of concepts.",NA,no,no,no,"1) Adequate tools should be supplied and also on a timely basis.
2) EPI focal persons should be well equiped with knowledge.",NA,yes,yes,no,no,no,"1) The faulty fridge should be fixed. 
2) Need to know the quantity of the vaccines visa vi the size of the fridges available.
3) More vaccine carriers should be availed.
4) Support to the cold chain in distribution of the logistics should be availed on record time.",NA,no,yes,no,"1) IEC materials should be availed on time.
2) Revise number of days for mobilization. They need to be increased.
3) Need to come up with a bottom up strategy for mobilization.",NA,"1) IEC materials should be availed on time.
2) On the side of cold chain, fuel should be sent earlier for easy transportation of logistics. Vaccines should also be brought on time to the DVS.
3) on the M&E side , enough tools for data capture should be availed. orient HIAs on how to pick data.
4) On the area of planning, prior assessment should be done. 
5) Guidelines should be availed early so that stakeholders are in the know.
6) Key stakeholders should be involved on record time.
7) The district council should be brought on board and facilitated for easy mobilization.
8) Equitable distribution of RDC airtime for easy mobilization.",NA,uuid:784297f3-a236-4137-8d61-250ba013cd8a,uuid:784297f3-a236-4137-8d61-250ba013cd8a,2025-03-03T08:51:38.018Z,NA,1124,moh_assessor,0,0,NA,NA,collect:MXJVPCSaDgKydJY2,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-03T05:53:44Z,2025-03-03T06:05:42Z,2025-03-03T00:00:00Z,collect:FtAm5uY5ZeOySRXG,NA,NA,31.086523,2.4776185,1009.2999877929688,4.858,,1m,2025-03-03T00:00:00Z,Kayongo Abdallah ,gov_moh,NA,West_Nile,Nebbi,NA,yes,no,yes,no,no,yes,"Politicians have confirmed that communities are ready 
Sensitization is continuing in any gathering ",NA,no,no,no,Administration of the vaccine ,NA,no,no,no,Need to provide tools early to ease training ,NA,yes,yes,no,no,no,Commodities need to be supplied early ,NA,no,yes,yes,IEC tools are needed ASAP,NA,Early delivery of the commodities ,NA,uuid:f91ac92e-1463-47f7-b8d9-ec0cb73c1747,uuid:f91ac92e-1463-47f7-b8d9-ec0cb73c1747,2025-03-03T06:05:43.108Z,NA,1124,moh_assessor,0,0,NA,NA,collect:FtAm5uY5ZeOySRXG,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-13T07:17:33Z,2025-03-13T09:15:23Z,2025-03-13T00:00:00Z,collect:eZC1L1TORg06hIMR,NA,NA,34.6608389,2.5324627,1363.0999755859375,4.533,,2m,2025-03-13T00:00:00Z,Dr.Mugabe Frank,gov_moh,NA,Karamoja,Moroto,NA,no,no,yes,no,no,no,"Funds to be released immediately so that processes are made immediately.

System is on and off
",NA,no,no,no,Training materials to be made available ,NA,yes,no,no,Supply of updated tools ,NA,yes,no,no,no,no,NA,NA,no,no,no,Moroto has been having a translation . We take it that majority are aware of MVI but not dates and venues ,NA,"Mobilization should be strengthened

Vaccines to be supplied two weeks to implementation.

Planning was not done due to delay for MOH to share IPFs

Biostat monitored the tools",NA,uuid:18d35830-77b9-4a7e-8e3a-2b090a9f45c3,uuid:18d35830-77b9-4a7e-8e3a-2b090a9f45c3,2025-03-13T12:19:00.892Z,NA,1124,moh_assessor,0,0,NA,NA,collect:eZC1L1TORg06hIMR,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-11T06:31:00Z,2025-03-11T07:34:25Z,2025-03-11T00:00:00Z,collect:EoglRRwPIiGRNOze,NA,NA,31.766805,0.914845,1164.0999755859375,5,,2m,2025-03-07T00:00:00Z,Munganga MariaGorret ,gov_moh,NA,Tooro,Kasese,NA,yes,yes,yes,no,no,no,"Yet to start coordination meeting specifically on malaria.
Funds not yet in district 
Talking points on malaria not yet received ",NA,no,no,no,Training is urgently needed ,NA,no,yes,yes,Tools are available but not enough ,NA,yes,no,no,no,yes,Safety boxes available but not specific for malaria ,NA,no,no,no,"ACSM is the heart of SD ,people need information ",NA,"Community not aware, the host hasn't hinted on malaria vaccination ",NA,uuid:57cf69aa-9629-4d7d-b37f-cb5171576749,uuid:57cf69aa-9629-4d7d-b37f-cb5171576749,2025-03-11T07:34:29.494Z,NA,1124,moh_assessor,0,0,NA,NA,collect:EoglRRwPIiGRNOze,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-07T21:01:28Z,2025-03-11T06:21:50Z,2025-03-08T00:00:00Z,collect:EoglRRwPIiGRNOze,NA,NA,32.6368467,0.4658933,1107.7,4.74,,2m,2025-03-10T00:00:00Z,Munganga MariaGorret,gov_moh,NA,Tooro,Bundibugyo,NA,yes,yes,yes,no,no,no,"Coordination meeting by RDC 
Avail district with operational funds and education materials",NA,no,no,yes,Training of health workers,NA,no,yes,yes,Inform the teams that their no special tools for MVI,NA,yes,yes,no,no,yes,Completion of facility contingency plan,NA,no,yes,no,"Advocacy, mobilization  is wanting",NA,Health promotion department should up their arms ,NA,uuid:f0cad5d5-a612-4228-aca2-75a0cf4142e3,uuid:f0cad5d5-a612-4228-aca2-75a0cf4142e3,2025-03-11T06:21:52.184Z,NA,1124,moh_assessor,0,0,NA,NA,collect:EoglRRwPIiGRNOze,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
